x,V,Evac,Ec,Ev,phin,phip,n,p,ND,NA,anion,cation,ntb,nti,mun,mup,G_ehp,Gfree,Rdir,BulkSRHn,BulkSRHp,IntSRHn,IntSRHp,Jn,Jp,Jint,lid,Vext,left_L,left_eps_r,left_E_c,left_E_v,left_N_c,left_mu_n,left_mu_p,left_N_t_int,left_C_n_int,left_C_p_int,left_E_t_int,right_L,right_eps_r,right_E_c,right_E_v,right_N_c,right_mu_n,right_mu_p,right_N_t_int,right_C_n_int,right_C_p_int,right_E_t_int
5.24966e-07,-0.244005,0.489005,-1.71099,-4.71099,-3.78066,-4.71001,4.39232e-10,9.61822e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.422463,0,0,0.16433,3.99015e+26,1.10747,-206.816,-205.708,3,0.66,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.24,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-204.995,2.01974e-12,-204.995,1,0.67,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.00600285,0.233997,-3.666,-5.296,-4.04404,-4.96826,7.66029e+17,5.53803e+18,0,0,1.27493e+22,7.34421e+17,1.21514e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,4.24229e+19,3.36473e+25,3.36473e+25,3.5395e+23,3.44854e+27,-204.791,-0.203923,-204.995,2,0.67,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.239031,0.479031,-1.72097,-4.72097,-3.78907,-4.72001,4.67066e-10,9.62801e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.449692,0,0,0.174743,4.24283e+26,1.10747,-206.103,-204.995,3,0.67,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.235,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-204.237,2.11013e-12,-204.237,1,0.68,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.00251553,0.232484,-3.66752,-5.29752,-4.04435,-4.97118,8.03012e+17,5.85431e+18,0,0,1.23399e+22,9.89122e+17,1.20621e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,4.70108e+19,3.53076e+25,3.53076e+25,3.70379e+23,3.64549e+27,-204.038,-0.199838,-204.237,2,0.68,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.234057,0.469057,-1.73094,-4.73094,-3.79741,-4.73001,4.97959e-10,9.63793e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.479929,0,0,0.186301,4.52326e+26,1.10748,-205.345,-204.237,3,0.68,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.23,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-203.432,2.19849e-12,-203.432,1,0.69,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,-0.000963156,0.230963,-3.66904,-5.29904,-4.04465,-4.97417,8.42481e+17,6.20266e+18,0,0,1.19257e+22,1.32953e+18,1.19583e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,5.22562e+19,3.70867e+25,3.70867e+25,3.88615e+23,3.86241e+27,-203.236,-0.195339,-203.432,2,0.69,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.229084,0.459084,-1.74092,-4.74092,-3.80569,-4.74001,5.32387e-10,9.64799e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.513647,0,0,0.199182,4.83579e+26,1.10751,-204.539,-203.432,3,0.69,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.225,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-202.575,2.26866e-12,-202.575,1,0.7,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
