L1_L,L1_E_c,L1_E_v,L1_N_D,L1_N_A,L2_L,L2_E_c,L2_E_v,L2_N_D,L2_N_A,L3_L,L3_E_c,L3_E_v,L3_N_D,L3_N_A,energy_gap_L1,energy_gap_L2,energy_gap_L3,band_offset_L1_L2,band_offset_L2_L3,thickness_ratio_L2,thickness_ratio_ETL,thickness_ratio_HTL,doping_ratio_L1,doping_ratio_L2,doping_ratio_L3,total_donor_concentration,total_acceptor_concentration,recombination_efficiency_ratio,interface_quality_index,conduction_band_alignment_quality,valence_band_alignment_quality,thickness_balance_quality,transport_layer_balance,average_doping_ratio,doping_consistency,energy_gap_progression,energy_gap_uniformity
3.162277660168379e-08,3.9,6.0,1e+21,1e+19,2.8e-07,3.8,5.6,3.162277660168379e+16,1e+17,3.162277660168379e-08,2.8,5.2,2.2360679774997897e+19,1e+21,2.1,1.7999999999999998,2.4000000000000004,-0.10000000000000009,-1.0,0.8155049552488386,0.09210189649071485,0.09210189649071485,100.0,0.31622776601683794,0.022360679774997897,1.0223923025515995e+21,1.0101e+21,3.872134970806887e+25,2.582554604989225e-26,0.47619047619047616,0.5555555555555556,4.427188724235732,1.0,33.446196148597274,0.00030092581076470847,0.18000000000000033,0.9174311926605504
3.162277660168379e-08,3.8,5.9,4.9999999999999993e+20,2.2360679774997897e+19,3.5e-07,3.8,5.4,3.162277660168379e+16,3.162277660168379e+16,2.0000000000000004e-08,2.8,5.2,1e+19,4.9999999999999993e+20,2.1000000000000005,1.6000000000000005,2.4000000000000004,0.0,-1.0,0.8712475876045037,0.07871790807878043,0.04978557643454308,22.360679774997894,1.0,0.020000000000000004,5.1003162277660164e+20,5.2239230255159955e+20,1.3140630178150174e+25,7.609985110627763e-26,0.5,0.588235294117647,6.77995301764888,0.971881210499039,7.793559924999298,0.006234770188792122,0.3999999999999999,0.8595988538681948
2.0000000000000004e-08,3.9,5.9,7.071067811865475e+20,2.2360679774997897e+19,3.5e-07,3.8,5.5,1e+17,1e+16,4.999999999999999e-08,3.0,5.2,1e+19,1e+21,2.0000000000000004,1.7000000000000002,2.2,-0.10000000000000009,-0.7999999999999998,0.833134967864794,0.04760771244941681,0.11901928112354199,31.622776601683793,10.0,0.01,7.172067811865475e+20,1.0223706797749979e+21,3.108901582015225e+25,3.2165701409931896e-26,0.5263157894736842,0.588235294117647,5.0,0.9333481448566985,13.877592200561265,0.0038150654344528945,0.15000000000000013,0.9404388714733544
3.162277660168379e-08,3.9,6.0,1e+21,4.999999999999999e+19,2.8e-07,3.8,5.6,1e+16,1e+16,3.162277660168379e-08,2.8,5.2,2.2360679774997897e+19,7.071067811865475e+20,2.1,1.7999999999999998,2.4000000000000004,-0.10000000000000009,-1.0,0.8155049552488386,0.09210189649071485,0.09210189649071485,20.000000000000004,1.0,0.03162277660168379,1.0223706797749978e+21,7.571167811865474e+20,3.873315460607225e+25,2.5817675068555941e-26,0.47619047619047616,0.5555555555555556,4.427188724235732,1.0,7.0105409255338955,0.007826013697724071,0.18000000000000033,0.9174311926605504
4.999999999999999e-08,3.8,6.0,1e+21,1e+19,3.5e-07,3.8,5.4,3.162277660168379e+16,1e+16,2.0000000000000004e-08,3.2,5.2,2.2360679774997897e+19,4.9999999999999993e+20,2.2,1.6000000000000005,2.0,0.0,-0.5999999999999996,0.833134967864794,0.11901928112354199,0.04760771244941681,100.0,3.162277660168379,0.0447213595499958,1.0223923025515995e+21,5.1000999999999993e+20,1.3024459561762246e+25,7.677861758930224e-26,0.6250000000000001,0.5555555555555556,5.0,0.9333481448566985,34.402333006572796,0.00030952850453879745,0.23999999999999955,0.9146341463414634
2.0000000000000004e-08,3.9,5.8,7.071067811865475e+20,1e+19,2.8e-07,3.8,5.5,1e+16,3.162277660168379e+16,4.999999999999999e-08,2.8,5.2,2.2360679774997897e+19,7.071067811865475e+20,1.9,1.7000000000000002,2.4000000000000004,-0.10000000000000009,-1.0,0.7997714938588975,0.057126535275635534,0.1428163381890888,70.71067811865476,0.31622776601683794,0.03162277660168379,7.294774609615453e+20,7.171384039631492e+20,3.6140495364743466e+25,2.7669792289987486e-26,0.47619047619047616,0.6250000000000001,4.000000000000001,0.9210734017363853,23.686176220424425,0.0006025918376114773,0.13999999999999985,0.8849557522123893
3.162277660168379e-08,3.8,5.8,4.9999999999999993e+20,2.2360679774997897e+19,2.8e-07,3.8,5.4,1e+17,1e+17,2.0000000000000004e-08,2.8,5.2,1e+19,1e+21,2.0,1.6000000000000005,2.4000000000000004,0.0,-1.0,0.8440783080029806,0.0953289277439482,0.06029130771449862,22.360679774997894,1.0,0.01,5.1009999999999993e+20,1.0224606797749978e+21,1.6138485987142464e+25,6.196368115302742e-26,0.5,0.6250000000000001,5.423962414119103,0.9661484574556308,7.790226591665966,0.0062317485919877605,0.3199999999999995,0.8620689655172414
4.999999999999999e-08,3.8,5.9,1e+21,1e+19,3.5e-07,3.8,5.6,1e+17,3.162277660168379e+16,3.162277660168379e-08,3.2,5.2,4.999999999999999e+19,4.9999999999999993e+20,2.1000000000000005,1.7999999999999998,2.0,0.0,-0.5999999999999996,0.810705431747274,0.115815061678182,0.07324787645118759,100.0,3.1622776601683795,0.09999999999999999,1.0501e+21,5.1003162277660164e+20,2.091723162377179e+25,4.7807473665078256e-26,0.6250000000000001,0.588235294117647,4.2880187929404485,0.9591707989373113,34.42075922005613,0.0003097104762536187,0.06000000000000019,0.9771986970684038
4.999999999999999e-08,3.8,6.0,7.071067811865475e+20,1e+19,2.1e-07,3.8,5.4,1e+17,1e+16,2.0000000000000004e-08,2.8,5.2,4.999999999999999e+19,7.071067811865475e+20,2.2,1.6000000000000005,2.4000000000000004,0.0,-1.0,0.7497322384862548,0.17850767583006064,0.07140307033202428,70.71067811865476,10.0,0.07071067811865474,7.572067811865475e+20,7.171167811865474e+20,2.0433706634047894e+25,4.8938747037389244e-26,0.5,0.5555555555555556,3.0000000000000004,0.9032570138664948,26.92712959892447,0.0006833415501611883,0.4799999999999996,0.8522727272727273
2.0000000000000004e-08,3.8,5.8,1e+21,4.999999999999999e+19,2.1e-07,3.8,5.4,3.162277660168379e+16,1e+16,3.162277660168379e-08,3.0,5.2,1e+19,4.9999999999999993e+20,2.0,1.6000000000000005,2.2,0.0,-0.7999999999999998,0.8023757149711094,0.0764167347591533,0.12082546659594144,20.000000000000004,3.162277660168379,0.020000000000000004,1.0100316227766017e+21,5.5000999999999993e+20,2.294036242211116e+25,4.359129039025299e-26,0.5555555555555556,0.6250000000000001,4.067971810589327,0.9574795475343384,7.727425886722794,0.008588812297004624,0.23999999999999955,0.9146341463414634
4.999999999999999e-08,3.8,6.0,7.071067811865475e+20,1e+19,3.5e-07,3.8,5.4,1e+16,1e+17,2.0000000000000004e-08,2.8,5.2,1e+19,7.071067811865475e+20,2.2,1.6000000000000005,2.4000000000000004,0.0,-1.0,0.833134967864794,0.11901928112354199,0.04760771244941681,70.71067811865476,0.1,0.01414213562373095,7.171167811865474e+20,7.172067811865475e+20,1.3033756009151767e+25,7.672385452802058e-26,0.5,0.5555555555555556,5.0,0.9333481448566985,23.608273418092825,0.0006006080895071676,0.4799999999999996,0.8522727272727273
4.999999999999999e-08,3.8,5.9,1e+21,1e+19,2.8e-07,3.8,5.5,3.162277660168379e+16,3.162277660168379e+16,3.162277660168379e-08,3.0,5.2,2.2360679774997897e+19,1e+21,2.1000000000000005,1.7000000000000002,2.2,0.0,-0.7999999999999998,0.7740734565584904,0.13822740295687325,0.08742268567872258,100.0,1.0,0.022360679774997897,1.0223923025515995e+21,1.0100316227766017e+21,2.475970333414043e+25,4.03882060501491e-26,0.5555555555555556,0.588235294117647,3.430415034352359,0.9516516090546798,33.67412022659166,0.00030297698913835526,0.20000000000000018,0.9345794392523364
2.0000000000000004e-08,3.9,5.9,7.071067811865475e+20,4.999999999999999e+19,2.8e-07,3.8,5.4,3.162277660168379e+16,3.162277660168379e+16,3.162277660168379e-08,2.8,5.2,1e+19,7.071067811865475e+20,2.0000000000000004,1.6000000000000005,2.4000000000000004,-0.10000000000000009,-1.0,0.8440783080029806,0.06029130771449862,0.0953289277439482,14.142135623730953,1.0,0.01414213562373095,7.171384039631492e+20,7.571384039631492e+20,2.438393229425173e+25,4.101061255963112e-26,0.47619047619047616,0.588235294117647,5.423962414119103,0.9661484574556308,5.052092586451561,0.015819120194071928,0.31999999999999984,0.8620689655172414
3.162277660168379e-08,3.9,5.9,7.071067811865475e+20,2.2360679774997897e+19,3.5e-07,3.8,5.6,1e+16,3.162277660168379e+16,3.162277660168379e-08,3.0,5.2,4.999999999999999e+19,1e+21,2.0000000000000004,1.7999999999999998,2.2,-0.10000000000000009,-0.7999999999999998,0.8467491600854326,0.07650445579155721,0.07650445579155721,31.622776601683793,0.31622776601683794,0.04999999999999999,7.571167811865474e+20,1.0223923025515995e+21,3.3735514500765987e+25,2.9642352126479666e-26,0.5263157894736842,0.588235294117647,5.533985905294664,1.0,10.66300145590021,0.0030257016722304462,0.08000000000000032,0.9615384615384615
4.999999999999999e-08,3.8,6.0,1e+21,2.2360679774997897e+19,3.5e-07,3.8,5.4,1e+17,1e+17,2.0000000000000004e-08,2.8,5.2,1e+19,7.071067811865475e+20,2.2,1.6000000000000005,2.4000000000000004,0.0,-1.0,0.833134967864794,0.11901928112354199,0.04760771244941681,44.721359549995796,1.0,0.01414213562373095,1.0101e+21,7.295674609615454e+20,1.3022188032178023e+25,7.6792010492312e-26,0.5,0.5555555555555556,5.0,0.9333481448566985,15.245167228539842,0.0015316811060652876,0.4799999999999996,0.8522727272727273
