L1_L,L1_E_c,L1_E_v,L1_N_D,L1_N_A,L2_L,L2_E_c,L2_E_v,L2_N_D,L2_N_A,L3_L,L3_E_c,L3_E_v,L3_N_D,L3_N_A,MPP,IntSRHn_mean,simulation_id,extraction_timestamp
2.0000000000000004e-08,4.0,5.9,4.9999999999999993e+20,1e+19,2.1e-07,3.6,5.4,1e+17,3.162277660168379e+16,4.999999999999999e-08,3.2,5.2,4.999999999999999e+19,1e+21,299.97444922439996,3.261586584828804e+31,sim_0012,2025-09-23T16:24:16.995077
3.162277660168379e-08,4.0,6.0,4.9999999999999993e+20,1e+19,2.1e-07,3.6,5.6,1e+17,1e+17,3.162277660168379e-08,2.8,5.2,2.2360679774997897e+19,4.9999999999999993e+20,145.13405862119998,3.953447289257997e+29,sim_0013,2025-09-23T16:24:17.186610
3.162277660168379e-08,3.9,5.8,4.9999999999999993e+20,2.2360679774997897e+19,2.7999999999999997e-07,3.8,5.5,3.162277660168379e+16,1e+16,2.0000000000000004e-08,3.2,5.2,2.2360679774997897e+19,4.9999999999999993e+20,359.8018432075,1.3630223620050252e+28,sim_0014,2025-09-23T16:24:17.362910
4.999999999999999e-08,4.0,6.0,7.071067811865475e+20,4.999999999999999e+19,2.7999999999999997e-07,3.7,5.5,1e+16,1e+17,2.0000000000000004e-08,3.0,5.2,2.2360679774997897e+19,1e+21,107.42596472538499,6.254249500783204e+31,sim_0015,2025-09-23T16:24:17.545915
2.0000000000000004e-08,4.0,5.8,1e+21,2.2360679774997897e+19,2.7999999999999997e-07,3.6,5.4,3.162277660168379e+16,1e+16,4.999999999999999e-08,2.8,5.2,1e+19,1e+21,164.6691073518,1.430099932927936e+30,sim_0016,2025-09-23T16:24:17.738482
2.0000000000000004e-08,4.0,5.8,7.071067811865475e+20,2.2360679774997897e+19,3.5e-07,3.7,5.5,1e+17,1e+17,4.999999999999999e-08,3.0,5.2,4.999999999999999e+19,7.071067811865475e+20,151.088268732,4.7099611977825165e+30,sim_0017,2025-09-23T16:24:17.929554
3.162277660168379e-08,3.9,5.8,1e+21,4.999999999999999e+19,2.1e-07,3.8,5.4,3.162277660168379e+16,1e+17,4.999999999999999e-08,3.2,5.2,1e+19,4.9999999999999993e+20,554.99017389125,1.8276586479524388e+28,sim_0018,2025-09-23T16:24:18.115873
2.0000000000000004e-08,4.0,5.9,7.071067811865475e+20,1e+19,3.5e-07,3.8,5.6,1e+17,1e+16,3.162277660168379e-08,3.2,5.2,1e+19,4.9999999999999993e+20,162.4379445684,7.260976461540952e+30,sim_0019,2025-09-23T16:24:18.293056
4.999999999999999e-08,4.0,5.8,1e+21,2.2360679774997897e+19,2.1e-07,3.7,5.5,3.162277660168379e+16,3.162277660168379e+16,2.0000000000000004e-08,3.0,5.2,1e+19,1e+21,147.3557082084,1.5356215112598068e+32,sim_0020,2025-09-23T16:24:18.451630
4.999999999999999e-08,3.9,6.0,7.071067811865475e+20,4.999999999999999e+19,2.1e-07,3.8,5.5,3.162277660168379e+16,1e+17,3.162277660168379e-08,3.2,5.2,2.2360679774997897e+19,7.071067811865475e+20,405.53822717125,1.7852426667869775e+28,sim_0021,2025-09-23T16:24:18.612520
