x,V,Evac,Ec,Ev,phin,phip,n,p,ND,NA,anion,cation,ntb,nti,mun,mup,G_ehp,Gfree,Rdir,BulkSRHn,BulkSRHp,IntSRHn,IntSRHp,Jn,Jp,Jint,lid,Vext,left_L,left_eps_r,left_E_c,left_E_v,left_N_c,left_mu_n,left_mu_p,left_N_t_int,left_C_n_int,left_C_p_int,left_E_t_int,right_L,right_eps_r,right_E_c,right_E_v,right_N_c,right_mu_n,right_mu_p,right_N_t_int,right_C_n_int,right_C_p_int,right_E_t_int
2.48823e-08,0.186473,0.313527,-3.58647,-5.21647,-4.00067,-4.84796,1.84695e+17,1.11422e+18,0,0,3.13632e+22,6.03823e+10,1.42191e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,2.05791e+18,7.92163e+24,7.92163e+24,2.66885e+23,6.92732e+26,-218.446,-0.261142,-218.707,2,0.15,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.497819,0.997819,-1.20218,-4.20218,-3.31615,-4.20001,7.68763e-11,9.17974e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.0705705,0,0,0.0287617,6.99715e+25,1.10961,-219.817,-218.707,3,0.15,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.49,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-218.524,1.04107e-13,-218.524,1,0.17,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.179675,0.310325,-3.58967,-5.21967,-4.00337,-4.85219,1.88394e+17,1.15978e+18,0,0,3.06862e+22,1.14047e+11,1.3974e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,2.18495e+18,8.10339e+24,8.1034e+24,2.58712e+23,7.21139e+26,-218.264,-0.260554,-218.524,2,0.17,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.487864,0.977864,-1.22214,-4.22214,-3.33495,-4.22001,8.04406e-11,9.19597e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.0739729,0,0,0.0300952,7.32104e+25,1.10954,-219.634,-218.524,3,0.17,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.48,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-218.331,1.18332e-13,-218.331,1,0.19,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.172865,0.307135,-3.59287,-5.22287,-4.006,-4.85642,1.92558e+17,1.20832e+18,0,0,3.00077e+22,2.1538e+11,1.37455e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,2.32672e+18,8.3045e+24,8.3045e+24,2.5098e+23,7.51406e+26,-218.071,-0.259927,-218.331,2,0.19,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.477909,0.957909,-1.24209,-4.24209,-3.35373,-4.24001,8.42557e-11,9.21224e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.0776184,0,0,0.0315226,7.66771e+25,1.10947,-219.441,-218.331,3,0.19,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.47,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-218.128,1.34504e-13,-218.128,1,0.21,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.166043,0.303957,-3.59604,-5.22604,-4.00857,-4.86066,1.97244e+17,1.26011e+18,0,0,2.9328e+22,4.06684e+11,1.35344e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,2.4855e+18,8.52742e+24,8.52743e+24,2.4375e+23,7.83699e+26,-217.868,-0.259258,-218.128,2,0.21,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.467954,0.937954,-1.26205,-4.26205,-3.37248,-4.26001,8.8345e-11,9.22856e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.0815297,0,0,0.0330525,8.03928e+25,1.1094,-219.237,-218.128,3,0.21,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.46,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-217.912,1.52739e-13,-217.912,1,0.23,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.15921,0.30079,-3.59921,-5.22921,-4.01106,-4.86492,2.02516e+17,1.31549e+18,0,0,2.86464e+22,7.67776e+11,1.33409e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,2.66408e+18,8.77494e+24,8.77494e+24,2.37081e+23,8.18226e+26,-217.653,-0.258543,-217.912,2,0.23,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
